nom,racions,ingredients,passos
Pa de lli,,"['440g de lli molt (llavors de lli triturades amb la picadora)', '2 cubs de llevadura fresca', 'sal (un poquet)', 'xia (una culleradeta)', 'psyllium (una cullerada)', '2 ous sencers', '5 blancs d’ou1', '80 g d’oli d’oliva verge extra', '120 g d’aigua calenta']","['Mesclar-ho tot', 'Deixar-ho reposar 1h', 'Posar dins un motlle llarguer (també pots emprar un tupper de vidre que se pugui ficar dins es forn). El que jo empr fa fa uns 15 cm.', 'Enfornar 50-60 min (150-180ºC)', 'Treure i deixar refredar.', 'Després tallar en llesques gruixudes d’1’5cm aproximadament. Sortiran entre 8 i 10 llesques. No podràs fer llesques massa primes perquè el pa s’espatllaria. Així que millor que te surtin gruixadetes.', 'Deixar 4 llesques defora per menjar durant la setmana. Congelar les demés llesques de forma separada Embolicades amb paper de forn, perquè no s’aferrin unes a les altres.']"
mb esclatassangs i una mica de carn,,"[""3 cullerades d’Oli d'oliva extra verge o ecològic"", '3 alls', '1 pebre de cirereta', '1/2 kg de carn magra o costella de porc', '1 ceba', '1 manat de grells', '1 porro (la part blanca)', '5 tomàtigues de ramellet ratllades', '1 col (½ si és molt grossa)', '1/2 coliflor', '1 manat de julivert', '200g de bolets (esclata-sangs, gírgoles…)', 'Pebre vermell', 'Sal, pebre, aigua']","['Rentar i trossejar tota la verdura.', ""Posar una cassola grossa al foc amb l’oli d'oliva extra verge o ecològic."", 'Quan l’oli estigui calent posar-hi els alls i el pebre de cirereta, i treure’ls 1', 'Sofregir la carn. Posar sal i prebe bo. Un a vegada la carn estigui feta, la retiram i posam les verdures en aquest ordre: a) ceba, grells i porro primer b) Tomàtiga rallada c) Col i coliflor d) Julivert e) Prebe vermell f) Sal', 'Una vegada s’hagin sofregit una mica, afegim agua fins a tapi les verdures', 'Deixar bullir 5 minuts', 'Afegir els esclata-sangs i la carn', 'Deixar coure fins que les verdures estiguin fetes.', 'Servir en un plat i menjar amb cullera. En aquest cas no hi posarem les sopes de pa. En tot cas, podríem emprar una mica de pa de lli. Encara que segurament li donarà un gust i textura desconegut i potser que no ens agradi massa.', 'Menjar ¼. Reservar ¼ pel dinar de demà. I, si només en menges tu, reserva l’altre meitat per quan torni a sortir al menú.']"
Truita de gambes,,"['2 ous', '7g d’oli d’oliva', '1 all', '80g de gambes (pelades)', 'Sal', 'Pebre bo', 'Julivert']","['Encalentir l’oli a la paella.', 'Tirar-hi l’all tallat a làmines, sofregir 1 minut.', 'Tirar-hi les gambes i sofregir-les', 'Batre els 2 ous en un bol i afegir-li: les gambes i l’all, el julivert (tallat petit), la sal i el pebre bo.', 'Tirar-ho tot a la paella, coure durant uns minuts i donar la volta.', 'Servir']"
Pa (lli) amb oli amb pernil dolç/salat,,"['1 llesca de pa de lli', '15 g pernil dolç o salat', '7g (½ cullerada) d’oli d’oliva verge', 'Sal', '½ tomàtiga de remellet']","['Fer un pa amb oli amb pernil', 'Servir']"
Crema de xampinyons i Fruits secs,,"['600g de xampinyons', '20g de mantega sense sal', '100g de ceba blanca', '1-2 alls', '500ml de brou de pollastre (o aigua)', '0. 5g de tomí sec (3g si és fresc)', '1 fulla de llorer (opcional)', 'Sal i pebre al gust', '50ml de nata líquida (opcional)', '30g de fruits secs: ametlles, nous, avellanes…']","['Fondre la mantega dins una olla a foc mitjà.', ""Afegir la ceba i cuinar un minut. Afegir l'all i cuinar movent fins que quedin translúcids."", 'Afegir el tomí, els xampinyons i una mica de sal. Anar movent, fins que els xampinyons comencin a tirar aigua.', ""Afegir el brou de pollastre (o agua) i bullir. Baixar la temperatura i tapar l'olla. Cuinar 15 minuts més."", 'Apagar el foc, deixar refredar i treure la fulla de llorer.', 'Posar la nata', 'Passar-ho tot pel turmix. Ajustar sal i pebre.', 'Servir.']"
"Pa de lli amb alvocat, formatge i llavoretes de sésam per damunt",,"['Pa de lli 1 llesca', '½ alvocat', 'Un raig d’oli d’oliva verge', 'Sal', '30g de formatge (millor si tries un formatge de cabra)', '1 passig de sésam (per decorar)']","['Torrar la llesca de pa (pots emprar la paella)', 'Tallar o untar l’alvocat per damunt del pa', 'Trempar-lo amb sal i oli', 'Posar-li la llesca de formatge per damunt', 'Decorar amb sésam']"
Verdures bullides amb ous bullits,,"['60g Ceba blanca', '100g pastanaga', '200g mongetes verdes tendres', '60g col', '2 cuixes de pollastre (reservar per demà)', '3 ous']","['Arreglar i trossejar les verdures per ficar-les dins l’olla', 'Posar agua a bullir. Una vegada l’agua bulli, li tiram les verdures i la carn.', 'Deixam bullir a foc lent 15 min.', 'Afegim els ous i deixam bullir per 7-8 min més.', 'Terim els ous. I els passam per agua freda.', 'Colam les verdures.', 'Feim 2 parts: 1 Ració per ara, amb 3 ous. I, una ració per demà amb 2 cuixes de pollastre']"
Pa (lli) amb oli amb pernil dolç/salat,,"['1 llesca de pa de lli', '15 g pernil dolç o salat', '7g (½ cullerada) d’oli d’oliva verge', 'Sal', '½ tomàtiga de remellet']","['Torrar una llesca de pa de lli', 'Fer un pa amb oli amb pernil', 'Servir']"
Ous bullits ½ alvocat una mica de salmó fumat i canonges,,"['2 ous', '½ alvocat', '100g salmó fumat', '50g canonges', 'Oli d’oliva verge', 'Sal', 'Vinagre']","['Bullir els 2 ous i pelar-los. Per fe-los al punt bullir-los 7-8 minuts, no més.', 'Tallar ½ alvocat a làmines', 'Posar en un plat: els ous tallats per la meitat, L’alvocat tallat, el salmó fumat i els canonges. Trempar-ho tot amb sal i oli, i vinagre als canonges.']"
Nabius amb iogurt grec,,"['50g de iogurt grec (1 cullerada sopera grossa)', '40g de nabius']","['posar el iogurt en un recipient adequat (tupper de vidre si te l’has d’endur)', 'Afegeix els nabius.', 'Mescla-ho']"
Iogurt grec amb nabius i cetogranola,,"['150g iogurt grec', '100g nabius', '30g cetogranola']","['Abocar el iogurt, els nabius i la cetogranola en un bol', 'Servir']"
