nom,racions,ingredients,passos
Piteres de pollastre amb mantega aromatitzada,,"['300g de pits de pollastre sense os i sense pell (2 unitats)', 'Sal i pebre', ""20ml d'oli d'oliva"", '20g de mantega aromatitzada (prèviament posa la mantega algunes herbes aromàtiques']","['Treure de la nevera o congelador 20g de mantega aromatitzada (veure recepta).', 'Assequeu el pollastre amb tovalloles de paper absorbent, feu una incisió o tall petit pel lateral més gruixut del pit fent una mena de butxaca sense.', 'Introduir a la incisió de cada pit 10g de mantega aromatitzada.', ""Escalfar la paella a foc mitjà-alt. Afegiu-hi la resta de l'oli d'oliva i espereu que calenta fins que estigui a punt de fum."", 'Segellar el pollastre de 3 a 4 minuts per cada costat o fins a daurar. Abaixar el foc, tapar la paella i acabar de cuinar a foc lent per almenys 5 minuts més per cada costat.', 'Servir immediatament!', 'Bon profit!']"
Espàrrecs embolicats en pernil salat,,"['5-7 espàrrecs verds (½ manat)', '2-3 talls de pernil salat', ""Oli d'oliva""]","['Encalentir el forn a 200°C i preparar la safata de forn (posar paper de forn si fa falta).', ""Rentar i llevar la part forta de l'espàrrec."", ""Embolicar cada espàrrec1 amb un troç de pernil, en forma d'espiral i de baix a dalt. Anar col·locant-los sobre la safata de forn."", ""Posar una mica d'oli d'oliva per damunt els espàrrecs."", 'Enfornar entre 10 i 12 minuts o fins que el pernil comenci a daurar.']"
Hamburguesa,,"['300g de carn picada — de boví2', '20g de xoriç (opcional)', '15g de mostassa Dijon (o 3g de pebre vermell dolç en pols)', '2 alls', ""15g d'oli d'oliva"", 'Sal i pebre al gust']","[""Mesclar la carn, el xoriço, la mostassa, l'all, l'oli, la sal i el pebre al bol."", ""Encalentir la paella per 2-3 minuts a foc mitjà-alt amb una mica d'oli. 1 2"", 'Fer dues boles amb la carn i donar forma a les hamburgueses amb les mans humides. Si les prefereixes més petites fes-ne tres.', 'Col·locar les hamburgueses a la paella i cuinar 5 minuts per cada costat o fins que comencin a daurar.', 'Passar a un plat i mentre estiguin calents col·locar el formatge cheddar per sobre (en talls o ratllat).', ""Servir sobre les fulles d'enciam, col·locar per damunt una llesca de tomàtiga i ceba.""]"
Amanida de colors,,"['70g de mescla de fulles verdes: col, ruca, enciams, espinacs, kale', '100g de tomàquets cherry (o 1 unitat mitjana de tomàquet)', '25g de ceba morada', '100g de pastanaga', '20g de llavors de carbassa', '5g de coriandre o menta fresca (opcional)', '0.5g pebre vermell picant a pols (opcional)']",[]
Iogurt grec amb ametlles i nabius,,"['200g iogurt grec natural', '100-150g de maduixes (o fruits vermells)', '30g de nous i ametlles (o cet-granola si encara en tens de feta)', '10-20g de chía', 'Canyella al gust']","['Col·locar el iogurt en un recipient.', 'Afegir les llavors de chía.', 'Es pot endolcir amb una mica de stevia o eritritol', 'Afegir les maduixes o fruits vermells.', 'Afegiu-hi les nous i ametlles.', 'Posar canyella al gust.']"
Sopes mallorquines,,"[""3 cullerades d’Oli d'oliva extra verge o ecològic"", '3 alls', '1 pebre de cirereta', '600 kg de carn magra o costella de porc', '3 botifarrons', '1 ceba', '1 manat de grells', '1 porro (la part blanca)', '2 tomàtigues de ramellet ratllades', '½ col (¼ si és molt grossa)', '¼ coliflor', '1 manat de julivert', '200g de bolets (esclata-sangs, gírgoles…)', 'Pebre vermell dolç (en pols)', 'Sal, pebre, aigua']","['Rentar i trossejar tota la verdura.', ""Posar una cassola grossa al foc amb l’oli d'oliva extra verge o ecològic."", 'Quan l’oli estigui calent posar-hi els alls i el pebre de cirereta, i treure’ls', 'Sofregir la carn. Posar sal i prebe bo. Un a vegada la carn estigui feta, la retiram i posam les verdures en aquest ordre: ceba, grells i porro primer / Tomàtiga rallada / Col i coliflor / Julivert / Prebe vermell / Sal', 'Una vegada s’hagin sofregit una mica, afegim agua fins a tapi les verdures', 'Deixar bullir 5 minuts', 'Afegir els esclata-sangso girgoles3, la carn i els botifarrons', 'Deixar coure fins que les verdures estiguin fetes.', 'Servir en un plat i menjar amb cullera. En aquest cas no hi posarem les sopes de pa. En tot cas, podríem emprar una mica de pa de lli. Encara que segurament li donarà un gust i textura desconegut i potser que no ens agradi massa.', 'Menjar ¼. Reservar ¼ pel dinar de demà. I, si només en menges tu, reserva l’altre meitat per quan torni a sortir al menú.']"
Roses de carabassí amb pernils,,"['2 carabassins', '60 g de pernil salat', '60 g de pernil dolç', '60 g de formatge de barra', 'pebre bo']","['Encalentir el forn a 180ºC', 'Tallar els carabassins a llesques fines (un pelador és ideal per fer-ho)', 'Estendre els carabassins i repartir el pernil salat, el pernil dolç i el formatge fins que quedi tot repartit. LA idea és que cada llesca de carabassí tendrà damunt pernils i formatge.', 'Una vegada preparat enrevoltillar cada llesca de carabassí amb els pernils i el formatge fent una rosa (o rollet).', 'Col·locar les roses dins una safata de forn (li pot posar paper de forn, si vols)', 'Tirar una mica de pebre bo per damunt i ho enfornarem durant 10 minuts.', ""Menja la meitat de les roses i reserva l'altra meitat per demà.""]"
Ous poché,,"['2 ous', '300ml d’aigua (aprox, només és per bullir els ous)', 'sal']","['Posar s’aigua a bullir en un perol.', ""Descloscar l'ou en una tassa i reservar. 3"", ""Quan l'aigua estigui a punt de bullir (o bulli lleugerament), fem un remolí amb l'ajuda d'una cullera o unes varetes."", ""Deixar caure l'ou al centre del remolí, amb delicadesa."", 'Cuinar 4-5 minuts.', 'Retirem amb una espumadora,', 'Trempar els ous amb sal i oli gust.']"
"Frittata de salmó, espinacs i xampinyons",,"['6ous', '10g de nata líquida(opcional)', '15g de mantega sense sal freda', '100g de espinacs', '100g de xampinyons', '50g de ceba blanca', '30g de formatge parmesà', ""3g de fulles d'alfàbrega fresca (veure observacions)"", 'Sal i pebre al gust']","['Encalentir el forn a 180°C i preparar la safata (si no és antiadherent se suggereix posar-hi paper de forn).', 'Tirar els ous en un bol. Afegir la nata líquida, la mantega freda, la sal i el pebre. Batre els ous suaument amb la forquilla i reservar.', 'Encalentir la paella. Afegir la ceba i saltar per 2-3 minuts o fins que estigui translúcida.', 'Afegir els xampinyons i els espinacs al final.', 'Tapar i esperar que les fulles d’espinacs s’ablaneixin una mica.', 'Passar la mescla a la safata de forn cobrint tota la seva superfície.', ""Cobrir amb els ous batuts i remenar-ho tot amb la forquilla per barrejar bé els vegetals amb l'ou."", ""Posar les fulles d'alfàbrega per damunt i després el parmesà."", 'Enfornar uns 15 minuts o fins que la frittata comenci a daurar.', 'Treure del forn i esperar que refredi almenys 5 minuts.', 'Tallar en dues porcions. Guardar-ne una dimecres dematí.']"
Amanida i Pad-thai,,"['100 g de fulles verdes variades trempades.', '60g de tallarins konjac', '2 alls', '1g de gingebre mòlt', '10g de bitxo o en el seu defecte cayena en pols (unes bocades amb el pot, al gust)', ""15 ml d'AOVE"", '300g de gambes mitjanes crues i pelades', '100g de tofu ferm tallat daus', '1 ou', '100g ceba tendra (part verda de la tija)', '50g de brots de soja en conserva', '10g de fulletes de coriandre per servir (5g cada porció)', '10g de cacauets torrats per servir (5g cada porció)', ""2-3g d'edulcorant per a la salsa"", '15ml de suc de taronja per a la salsa', '15ml de salsa de soja per a la salsa', '10g de crema de cacauats per a la salsa']","['Prepara l’amanida. La pots menjar abans o a la vegades que menges el pad thai', ""Tallar l'all i la ceba tendre. I el bitxo si n’hi poses."", 'Assecar amb tovalloles de paper absorbent les gambes i salpebrar.', 'Tallar el tofu a daus de mida similar a les gambes.', ""Descloscar l'ou en un bol i batrer amb una forqueta."", 'Treure els els brots de soja del pot, i llevar-lis el líquid', ""Prepara els fideus konjac segons les indicacions de l'empaquetatge i reserva."", 'Mescla tots els ingredients de la salsa en un pot petit amb tapa. Tapa i agita (remena) fort fins a emulsionar.', ""Col·loca una paella gran o wok a encalentir a foc alt amb la meitat de l'AOVE. Quan estigui calent afegeix l'all, el gingebre i el bitxo o cayena i salta-ho tot sense deixar de remoure per 10 segons o fins que comenci a deixar anar aroma."", ""Afegeix l'altra meitat de l'oli, afegeix les gambes i el tofu i salta-ho fins que les gambes estiguin cuites. En aquest moment afegeix els fideus i mescla-ho."", ""Aparteu-ho tot a un costat de la paella i afegiu-hi l'ou batut al costat buit. Deixa que es cuini per 20 segons, després remou combinant amb els fideus, les gambes i el tofu."", ""Tira la salsa per damunt i remou perquè s'impregnin els fideus."", 'Afegeix els brots de soja i la ceba tendra i segueix saltejant-ho tot per 30 segons més. Afegeix els cacauets xepats i retira del foc.', ""Serveix la meitat del Pad Thai en un plat profund amb més cacauets i les fulles de coriandre i guarda l'altra porció per al dia següent.""]"
