nombre,raciones,ingredientes,pasos
"Huevos revueltos con de salmón, espinacas y queso crema y feta",2,"['6 g de aceite de oliva (AOVE)', '4 huevos', '20 g de cebolla', '1 manojo de espinacas', '100 g de salmón ahumado', '50 g de queso crema', '40 g de queso feta']","['Cortar las verduras: cebolla y espinacas y el salmón', 'Pon el aceite en la sartén y deja que se caliente', 'Echa la cebolla dentro de la sartén y sofríe hasta que quede', 'Agregar las espinacas', 'Añade el salmón, déjalo a fuego lento mientras', 'Bates los huevos (no pongas sal, ¡el salmón ahumado ya es bien', 'Echa los huevos batidos en la sartén', 'Baraja', 'Añade los queso y sigue comiendo hasta que coja una consistencia', 'Sírvete la mitad y reserva la otra mitad para la cena de mañana']"
Rollitos de col,,"['2 hojas de col (tiernas)', '150 g de carne picada', '2 g cebolla, picada', '1 ajo', '1 huevo', '250 ml de leche de almendra', '50 g de perejil fresco, picado', '1 pizca de tomín', 'Sal y pimienta al gusto', '20 g Queso rallado (opcional, por poner por encima)']","['Precalentar el horno a 180°C.', 'Hervir 2 hojas de col. Después, escúrrelas y resérvalas.', 'Sofreír la cebolla y el ajo.', 'Añadir la carne picada y cocinar hasta que se dore.', 'Añadir el huevo, la leche, el perejil, el tomillo, la sal y la pimienta a la', 'Cocínalo a fuego lento durante unos minutos hasta que todos los', 'Coge las hojas de col y coloca la mitad de la mezcla de carne en el', 'Dobla los extremos de la hoja hacia dentro y luego enróllala para', 'Coloca las coles rellenas en una palangana para horno.', 'Opcional: Puedes esparcir queso rallado sobre los rollitos de col.', 'Hornea durante 30-40 minutos, o hasta que el repollo esté tierno.', 'Servir. ¡Buen provecho!', 'Recuerda acompañar con la patata que tienes cocida del domingo']"
Fumet de gambas (ceto),2,"['200 g de gambas peladas (ver observaciones)', '400 g de coliflor', '100 g de cebolla blanca', '2 dientes de ajo', '15 g de cebollino o parte verde de una cebolleta', '20 g de mantequilla', '500 ml de caldo de pollo o pescado', '60 ml de nata líquida', '6g de hojas de cilantro (opcional)', 'Sal al gusto']","['Fundir la mantequilla en una olla grande a fuego medio.', 'Añadir la cebolla y el ajo. Cocinar removiendo hasta que la cebolla', 'Añadir las gambas y saltearlas con la cebolla un minuto.', 'Añadir la coliflor y el caldo. Poner sal. Subir el fuego hasta que tome el', 'Apagar el fuego, añadir la nata líquida, el cebollino y el cilantro.', 'Servir la mitad y reservar la otra mitad para cenar el miércoles']"
Pudding de chía con arándanos y nueces,2,"['250 ml leche de almendra', '250 ml de kefir (cabra u oveja)', '6 cucharadas soperas de chía', '2 cucharadas de postre de eritritol (opcional)', '20 g de nueces', '50g de arándanos']","['Una vez mezclado sirve en dos recipientes (un taso, un cuenco)', 'Deja en el nevero durante toda la noche.', 'Por la mañana, antes de servir añadir las nueces y los arándanos por', 'Sólo montar uno. El otro se montará el jueves antes de servir.']"
"Ensalada marinera: con aguacate, gambas, bacalao ahumado y",,"['100 g Gambas', '100 g bacalao ahumado', '½ Aguacate', '70 g Hojas verdes (lechuga, espinacas, rúcula, kale…)', '10 g Aceite de oliva', '20 g de nueces', '½ Limón', 'Sal y pimienta']","['Hierve las gambas', 'Cortar el aguacate y las hojas de ensalada', 'Pon todos los ingredientes en un cuenco, temple y sirve']"
"Yogur griego con fresas, almendras y nueces.",,"['250 g de yogur griego', '150 g de fraulas', '20 g de almendras', '20 g de nueces']","['Poner los ingredientes en un cuenco y remover', 'Si te hiciera mucha, muchísima falta el sabor dulce, le puedes poner un']"
Piteras de pollo con champiñones y salsa crema,,"['1 cantera de pollo (250g)', '70 g de champiñones', '1/4 de cebolla', '1 ajo', '¼ de taza (60 ml) de caldo de pollo', '¼ de taza (60 ml) de crema de leche (nata)', '1 cucharada de mantequilla (10g)', '1 cucharada de aceite de oliva (10g)', 'Sal y pimienta al gusto', 'Perejil fresco, picado (opcional, para decorar)']","['Abonar con sal pimienta buena la pechera de pollo por ambos lados.', 'Dentro de una sartén, calentar el aceite de oliva y la mitad de la', 'Añadir la pechuga de pollo y cocinar hasta que esté dorada por ambos', 'Retirar la pechera de la sartén y reservar.', 'En la misma sartén, añade la mantequilla restante.', 'Agregar la cebolla y el ajo, y cocinar hasta que estén translúcidos.', 'Añadir los champiñones y cocinar hasta que estén dorados.', 'Vierte el caldo de pollo en la sartén y raspa el fondo para liberar los', 'Deja que la mezcla hierva a fuego lento durante unos minutos.', 'Reducir el fuego y añadir la nata (crema de leche).', 'Remueve bien para combinar y cocina a fuego lento hasta que la salsa', 'Coloca la pechera de pollo nuevamente en la sartén, cubriéndolo con', 'Si quieres, decora con perejil fresco antes de servir.']"
Merluza con corteza de almendras y parmesano + ensalada verde,,"['1 solomillo de merluza con piel (300g)', '25 g de mantequilla sin sal', '25 g de almendras fileteadas', '20 g de queso parmesano', '1⁄2 limón', 'Sal y pimienta al gusto']","['Calentar el horno a 170°C y preparar la bandeja de horno (si no es', 'Colocar en un cuenco: la mantequilla, las almendras, el queso y la', 'dejar el pescado limpio de espinas y sazonar con sal y pimienta.', 'Colocar el pescado en la bandeja de horno con la piel hacia abajo y', 'Hornear entre 10 y 12 minutos hasta que la corteza de almendras', 'Añadir las gotas del jugo de limón y servir de inmediato.']"
Revuelto de espárragos y feta,2,"['1 cucharada de aceite de oliva', '1 ajo', '½ cebolla', '1 manojo de espárragos', '8 huevos', '60 g de queso feta', 'sal y pimienta buena']","['Cortar el ajo, la cebolla pequeños, los espárragos y el queso hecho,', 'Poner el aceite de oliva en una sartén y dejar que se caliente hasta que', 'Echar el ajo y la cebolla y sofreír hasta que la cebolla esté translúcida', 'Añadir los espárragos. Poner un poco de sal y pimienta buena.', 'Batir los huevos aparte y echarlos con los demás ingredientes en la', 'Echar el queso hecha y remover hasta conseguir una cocción que nos', 'Servir la mitad y reservar la otra mitad por el desayuno de mañana.']"
Estofado de ternera con verduras,,"['400 g de carne de ternera para estofar, troceada', '1 zanahoria', '100 g de judías verdes', '1/2 cebolla', '1 diente de ajo', '1 taza (250 ml) de caldo de carne', '1 cucharada de tomate concentrado (opcional)', '1 hoja de laurel', '½ cucharadita de tomín', 'Sal y pimienta al gusto', '1 cucharada de aceite de oliva']","['', 'En una olla pequeña, calentar el aceite de oliva a medio fuego.', 'Añadir la carne de ternera y cocina hasta que esté dorada.', 'Agregar la cebolla y el ajo a la olla, y cocinar hasta que estén tiernas.', 'Añadir las zanahorias y las judías en la olla. Baraja para mezclar los', 'Echar el caldo de carne dentro de la olla y añadir la hoja de laurel, el', 'Cocinar a fuego fuerte hasta que coja el hervor y después reducir a', 'Cubrir la olla y dejar cocinar a fuego lento 1.5 a 2 horas, o hasta que la', 'Remueve ocasionalmente y ajusta la sazón según sea necesario.', 'Cuando el estofado esté listo, retirar la hoja de laurel y servir caliente.', 'Reservar la mitad de la carne para realizar hamburguesas mañana.']"
