nom,racions,ingredients,passos
Fritatta de xerris amb xoriç,,"['6ous', '10g de nata líquida (opcional)', '15g de mantega sense sal freda', '60g de xoriço', '120g de tomàquets cherry madurs', '50g de ceba blanca', '20g de kale (opcional)', '30g de formatge parmesà', ""3g de fulles d'alfàbrega fresca (veure observacions)"", 'Sal i pebre al gust']","['Encalentir el forn a 180°C i preparar la safata (si no és antiadherent se suggereix posar-hi paper de forn).', 'Tirar els ous en un bol. Afegir la nata líquida, la mantega freda, la sal i el pebre. Batre els ous suaument amb la forquilla i reservar.', 'Encalentir la paella. Afegir el xoriç i saltejar fins que comenci a amollar el greix . Afegir la ceba i saltar per 2-3 minuts o fins que estigui translúcida.', 'Afegir les tomàtigues i la col kale. Saltejar-los amb la ceba i el xoriç. Tapar i esperar que les fulles de kale s’ablaneixin una mica.', 'Passar els vegetals i el xoriç a la safata de forn cobrint tota la seva superfície.', ""Cobrir amb els ous batuts i remenar-ho tot amb la forquilla per barrejar bé els vegetals amb l'ou."", ""Posar les fulles d'alfàbrega per damunt i després el parmesà."", 'Enfornar uns 15 minuts o fins que la frittata comenci a daurar.', 'Treure del forn i esperar que refredi almenys 5 minuts.', 'Tallar en dues porcions. Guardar-ne una dimecres dematí.']"
Pollastre a les fines herbes,,"['400-500g de pollastre a trossos amb os i pell', '1⁄2 llimona', ""2-3 dents d'all"", '5g de romaní fresc (1g en pols)', ""5g d'orenga fresc (0.5g en pols)"", '15g de mostassa Dijon', ""15ml d'oli d'oliva (una cullerada)"", 'Sal i pebre al gust']","['Encalentir el forn a 180°C i preparar la safata de forn (posa paper de forn si falta).', ""Mescla en un bol: l'all, el romaní, l'orenga, la mostassa, la pell de llimona, l'oli d'oliva, la sal i el pebre. Picar i mesclar-ho tot fins que faci oloreta."", 'Eixugar el pollastre amb una servilleta. Untar tota la pell amb la llimona.', 'Untar cada peça per defora i per dedins de la pell amb la mescla de fines herbes. Afegir una mica de sal adicional sobre la pell.', 'Col·locar dins la safata de forn i tapar amb paper alumini.', 'Coure al forn tapat per 30 minuts. Després llevar el paper d’alumini.', 'Enfornar per 15 minuts més o fins que la pell del pollastre comenci a daurar.', 'Servir. (Pensa que són dues racions, en quedarà per un altre dia.)']"
Salmó a la planxa,,"['150 g de llom de salmó (amb pell preferiblement)', ""7 ml d'oli d'oliva"", 'Sal i pebre al gust']",[]
Vinagreta de tomàquet cherry (opcional),,"['40g de tomàquets cherry (4 unitats)', '10g de ceba morada', ""3g de fulles d'alfàbrega"", ""7ml d'oli d'oliva"", '1⁄2 llimona', 'Sal i pebre al gust']","['Eixugar el salmó amb una servilleta.', ""Afegir unes gotes d'oli i trempar-lo amb sal i pebre al gust."", ""Encalentir la planxa (o paella) a foc mitjà-alt per 2 minuts. Afegir l'oli d'oliva i esperar que sigui ben líquid."", 'Col·locar el salmó a la paella amb la pell cap per avall. Sellar el llom 4 minuts fins que la pell dauri i girar-lo i sellar 2 minuts més. Baixar el foc.', 'Posar dins un bol els ingredients de la vinagreta.', 'Servir el salmó amb la vinagreta de xerris.']"
Guacamole,,"[""200g d'alvocat madur (una unitat)"", '100g de tomàquet (un petit)', '30g de ceba blanca', '10g de coriandre (fulles', '1 llimona', ""7ml d'oli d'oliva"", 'Sal i pebre al gust']","[""Tallar l'alvocat per la meitat. Retireu la llavor i treure la polpa amb una cullera."", ""Tallar una meitat de l'alvocat a trossos petits i reservar."", ""Col·locar l'altra meitat de l'alvocat en un bol, afegir-hi un raig de llimona, l'oli d'oliva, la sal i el pebre. Xafar-ho tot amb la forqueta fins a fer un puré."", 'Afegir la ceba i el coriandre. Remenar.', ""Afegir la tomàtiga i la resta de l'alvocat."", 'Afegir novament una mica de llimona, un poc de sal i pebre.', 'Remenar amb la forqueta sense picar.', 'Servir.']"
Granola,,"[""80g d'ametlles naturals"", '70g de nous naturals', '20g de llavors de carbassa', '5-10g de chía (opcional)', ""20g d'ametlles filetejades (opcional)"", '35g de llavors de lli mòltes', '10g de coco ratllat', ""55g d'eritritol"", '1 ou', '30g de mantega o oli de coco', ""5ml d'essència de vainilla""]","['Encalentir el forn a 200°C i preparar una safata de forn (amb un full de paper de forn perquè no s’aferri).', ""Picar les ametlles mitjançant fins que estiguin tallades, però encara a trossos grans. Afegir les nous i les llavors de carbassa, la chía, les llavors de lli i l'eritritoll, les ametlles filetejades i el coco ratllat"", ""Afegir l'ou i la mantega."", 'Mesclar fins que quedi una mescla homogènia.', 'Escampar la granola a la safata de forn formant una fina capa.', 'Enfornar de 10 a 20 minuts o fins que la granola comenci a daurar.', 'Treure del forn i verificar si queden espais sense daurar. En aquest cas, remenar amb la cullera i tornar a introduïu al forn.', 'Treure la granola i deixar refredar.', 'Emmagatzemar al pot de vidre fins al seu ús.']"
Lluç amb crosta d’ametlles i parmesà,,"['1 filet de lluç amb pell (150-200g)', '10 g de mantega sense sal', ""15 g d'ametlles filetejades"", '10 g de formatge parmesà', '1⁄2 llimona', 'Sal i pebre al gust']","['Encalentir el forn a 170°C i preparar la safata de forn (si no és antiadherent posar paper de forn).', 'Col·locar en un bol: la mantega, les ametlles, el formatge i la ratlladura de llimona. Barregeu-ho tot amb els dits fins a obtenir una espècie de massa.', 'deixar el peix net d’espines i condimentar-ho amb sal i pebre.', 'Col·locar el peix a la safata de forn amb la pell cap avall i cobrir-lo amb la massa de mantega i ametlles.', ""Enfornar entre 10 i 12 minuts fins que la crosta d'ametlles comenci a daurar."", 'Afegir les gotes del suc de llimona i servir immediatament.']"
Broqueta de gambes amb xoriç,,"['80 g de gambes i 8 llagostins (pelats)', '40 g de xoriço (tros sencer)', ""15ml d'oli d'oliva"", ""1 gra d'all (opcional)"", '1⁄2 llimona', 'Sal i pebre al gust']","['Punxar 2 gambes i dues rodanxes de xoriç alternativament.', 'Montar 4 broquetes.', ""Mesclar en un bol l'oli d'oliva, l'all, la sal i el pebre. Remenar amb la brotxa i després untar cada broqueta amb la mescla."", 'Encalentir la planxa o paella a foc mitjà-alt dos minuts.', 'Col·locar les broquetes a la planxa o paella', 'Cuinar de 1 a 2 minuts o fins que les gambes tornin color rosa. Voltejar les bro-', 'xetes i cuinar el mateix temps per l’altre costat', 'Posar-li una mica més de sal i pebre.', 'Servir amb unes gotes de llimona.']"
"Ous bullits amb salmó fumat, tàperes i maionesa",,"['2 ous', 'Aigua', '50g de salmó fumat', '30g de maionesa', '10g de tàperes (opcional)', '5g de mostassa Dijon (opcional)', '4g de cibulet (opcional)', 'Sal i pebre al gust']","['Bullir els ous. Si agraden poc fets 7-8 minuts.', 'Pelar-los', 'Mesclar la maionesa, la mostassa i', 'les tàperes.', 'Servir col·locant en un plat el salmó fumat, els ous, la maionesa i les tàperes', 'Tirar-li per damunt el cibulet, la sal i el pebre negre.']"
Risotto de coliflor amb gambes i bolets,,"[""200g d'arròs de coliflor → rallar-la o picar-la"", '100g de gambes pelades', '70g de bolets', '30g de ceba blanca', '10g de mantega sense sal', ""120ml d'aigua o brou de peix (o de verdures)"", '10ml de nata líquida', '10g de formatge parmesà', '10g de salsa pesto (opcional)', 'Sal i pebre al gust']","[""Encalentir l'olla a foc mitjà-baix. Fondre la mantega i afegir la ceba. Sofregir.."", 'Afegir els bolets i saltejar-los amb la ceba 1 minut.', ""Encalentir l'aigua o el brou de peix."", ""Afegiu l'arròs de coliflor. Mesclar amb la ceba i els bolets i cuinar 1 minut."", ""Afegir l'aigua o el brou, les gambes i un poc de sal. Remenar-ho tot. Bullir 5 minuts."", 'Apagar el foc. Afegir-hi la nata líquida i el formatge parmesà. Remenar-ho tot bé, fins que el formatge es fongui completament.', 'Servir i afegir la salsa pesto al centre del risotto (opcional). Afegir pebre al gust.']"
Crema de carabassí,,"['500g de carabassí', '100g de patates (només durant fase I i III)', '20 g de mantega sense sal', '50 g de ceba blanca', '2 alls', '350 ml de brou de pollastre', ""60 g d'alvocat"", '40 ml de nata líquida o llet de coco (opcional)', '1 fulla de llorer', '1⁄2 llimona', 'Sal i pebre al gust', '3g de julivert o coriandre (opcional)']","['Fondre la mantega dins l’olla', ""Afegir la ceba i l'all. Cuinar movent regularment fins que siguin translúcids."", 'Afegir els carbassons1 tallats, la patata, el llorer, el brou de pollastre (o aigua) i ajustar la sal. Cuinar 10 minuts o fins que els carbassins estiguin cuits. Apagar el foc', ""Afegir l'alvocat tallat a trossos mitjans"", 'Afegir la nata (o llet de coco)', 'Retirar la fulla de llorer. Passar pel turmix.', 'Servir amb el julivert o el coriandre.']"
"Tortilla de coliflor, formatge i salmó",,"[""200g d'arròs de coliflor (coliflor rallada)"", '1 ou', '30g de formatge parmesà', '4g de cibulet', '10g de lli mòlt (opcional)', 'Sal i pebre al gust', '50g de salmó fumat', ""7ml d'oli d'oliva""]","['Cuinar la coliflor al microones per 2-3 minuts. Treure, remmenar i tornar a ficar 2-3 minuts més.', 'Treure i deixar refredar com a mínim 10 minuts o el temps que sigui necessari per poder manejar-la amb les mans.', ""Posar la coliflor enmig d’un padaç de cuina. Enrotllar el padaç i espremer el més fort possible per treure la major quantitat d'aigua."", ""Encalentir la paella a foc mitjà i afegir-hi l'oli d'oliva."", ""Dins un bol, mesclar la coliflor, l'ou, el formatge, el lli, el cibulet, la sal i el pebre. Remeneu-ho tot amb l'espàtula fins a obtenir una massa homogènia."", ""Posar a la paella una cullerada de la massa i aixafar amb l'espàtula perque quedi una coca. Cuinar fins que dauri per una banda, donar-li la volta i cuinar per l'altra banda fins daurar."", 'Repetir fins acabar la massa.', 'Col·locar el salmó fumat sobre les tortilles i servir calentes. 1']"
Tartar de tonyina amb alvocat,,"['150g de de tonyina (com que es consumeix crua s’ha d’haver congelat prèviament)', '15g de ceba morada', '5g de cibulet (part verd)', '2g de gingebre fresc (opcional)', ""7ml d'oli d'oliva"", '15ml de salsa Tamari', '1⁄2 llimona', '3g de llavors de sèsam (opcional)', ""100g d'alvocat madur (1⁄2 alvocat)"", '10g de maionesa (opcional)', 'Sal i pebre al gust']","['Aixugar la tonyina amb una servilleta.', ""Tallar a cubs d'aproximadament 0.5 cm."", ""Mesclar en un bol la tonyina, la meitat de cibulet, el gingebre, l'oli d'oliva, la salsa Tamari i les llavors de sèsam. Refrigerar-ho tot per almenys 20 minuts."", ""Pelar i tallar l'alvocat també en daus de 0.5cm. Mesclar amb la ceba, unes gotes de suc de llimona, sal i pebre al gust."", ""Posar una mica d'oli d'oliva al recipient peruqè no s’aferri. Afegir la tonyina i pressionar amb la cullera lleugerament per compactar-ho al fons."", ""Afegir-hi la maionesa formant una capa i afegiu-hi a sobre els cubs d'alvocat. Pressionar lleugerament amb la cullera per compactar."", 'Tapar el recipient amb un plat pla i volteja-ho tot perquè el tàrtar es deprengui i conservi la forma.', 'Escampar per damunt la resta del cibulet i servir.']"
Bombó de xocolata,,"['40g de xocolata 90%', '40g de llavors de carbassa', '10g de cacau nibs (opcional)', ""10g d'eritritol"", 'Sal gruixuda (opcional)']","['Posar paper de forn damunt la safata.', ""Fondre la xocolata al bany maria (o microones) i mesclar amb l'eritritol."", ""Tirar la xocolata fosa sobre el paper i fer una fina pel·lícula de xocolata de 2mm de gruix amb l'espàtula."", 'Cobrir tota la superfície de xocolata amb les llavors de carbassa i empolvorar els cacau nibs i la sal (opcional).', ""Introduir la safata a la nevera i refredar fins que la xocolata s'endureixi."", 'Trossetjar, i conservar dins un recipient amb tapa a la gelera.']"
Costelles de porc torrades bolets a la planxa,,"['400g de costellam de porc complet (suposant 50% carn, 50% ossos)', 'Sal i pebre']","['Preparar la safata per a forn (si no és antiadherent posar-li paper de forn)', 'Col·locar el costellam a la safata (amb els ossos cap avall), eixugar-lo amb una servilleta i trempar amb la sal i el pebre bo.', 'Afegir la marinada i fregar-la per tot el costellam. Deixar marinant a la gelera de dues a dotze hores.', 'Encalentir el forn a 160°C. Enfornar les costelles a foc lent entre 30 i 40 minuts.', ""Treure del forn, tapar el costellam amb paper d'alumini i deixar reposar per 5 minuts."", 'Tallar i servir la meitat i reservar l’altre meitat per dilluns.']"
Marinada Bbq,,"['30g de ceba blanca', ""1-2 dents d'all"", '0.5g de comí', '1g de pebre vermell dolç', '0.5g de pebre vermell picant (opcional)', ""10g d'eritritol"", ""15ml d'oli d'oliva"", '5ml de vinagre', '1g de sal i pebre al gust']",[]
Bolets,,"['130g de bolets', ""1 gra d'all"", ""15ml d'oli d'oliva  5g de julivert (opcional)  Sal i pebre al gust.""]","['Rentar i assecar els bolets, separar-los i treure les parts dures.', ""Picar l'all, la sal, el pebre, l'oli d'oliva i la meitat del julivert al morter."", ""Encalentir la planxa (o paella) a foc mitjà-alt amb unes gotes d'oli d'oliva."", 'Col·locar els bolets i torrar de 1 a 2 minuts per banda fins que daurin.', 'Apagar el foc. Pintar els bolets pels dos costats amb el guarniment.', 'Escampar per sobre la resta del julivert i servir.']"
