nom,racions,ingredients,passos
Ous remenats o fregits amb cuixot salat i mini amanida verda,,"['3 ous', '30 g de pernil', ""7 ml d'oli d'oliva (1⁄2 cullerada)"", 'Sal i pebre al gust']","['Encalentir l’oli a la paella, tirar els ous, i posarli sal i pebre bò', 'Treure els ous i passar el pernil per la paella si agrada. Torrar-lo al gust', 'També es pot mesclar amb els ous si es prefereix.']"
Amanida de tonyina,,"['40 g de lletuga romana', '30 g de ruca (rúcula)', ""30 g d'espinacs"", '15 g de kale o col', ""15 ml d'oli d'oliva (1 cullerada)"", '5 ml de vinagre (opcional)', 'Sal', '½ alvocat', '100-150g lloms de tonyina en oli d’oliva']","['prens tots els ingredients i els mescles en una font', 'Ja pots sopar! Bon profit!']"
Amanida de pollastre amb salsa césar (ceto),,"['150g de pit de pollastre a la planxa', ""100g d'encisam romanès"", '30g de maionesa', '20g de formatge parmesà', '5g de mostassa Dijon', '1 all', '1 anxova (opcional)', 'Sal i pebre']","[""Mesclar la maionesa, la mostassa, 3⁄4 del parmesà, l'all, l'anxova (opcional), la sal i el pebre al bol petit."", ""Col·loar l'enciam al bol mitjà. Afegir el guarniment i remenar-ho tot amb una forqueta o pinces."", 'Tallar la pitera a tires o cubs. Encalentir abans de servir si es prefereix tèbia.', 'Servir els enciams, afegir el pollastre i la resta del formatge parmesà. Decorar amb una mica més de pebre bo.']"
"Frittata de bròquil, cheddar i xoriç",,"['6 ous', '10g de nata líquida (opcional)', '15g de mantega sense sal freda', '60g de xoriço1', '80g de formatge cheddar', '150g de bròquil (veure observacions)', '50g de ceba blanca', '50g de pebrot vermell (opcional)', 'Sal i pebre al gust']","['Encalentir el forn a 180°C i preparar una safata de forn (sposar papaer de forn si fa falta).', 'Rompre els ous en un bol. Afegir la nata líquida, la mantega, la sal i el pebre. Batre els ous suaument amb una forqueta i reservar.', 'Encalentir la paella 2-3 minuts a foc mitjà.', 'Afegir el xoriço i saltejar fins que comenci a amollar el greix.', 'Afegir la ceba i el pebre, saltejar 1 minut.', 'Afegir el bròquil i saltejar-lo amb la ceba, el pebrot i el xoriço.', ""Baixar el foc, tapar i cuinar fins que el bròquil s'ablaneixi una mica."", 'Passar el saltejat a la safata de forn cobrint tota la superfície. Escampar per sobre la meitat del formatge cheddar. Cobrir amb els ous batuts i remenar tot amb la forqueta per mesclar bé amb els vegetals.', 'Afegir la resta del formatge cheddar per damunt.', 'Enfornar uns 15 minuts o fins que la frittata comenci a daurar.', 'Treure del forn i esperar que refredi almenys 5 minuts.', 'Tallar en dues porcions, reserva la meitat per un altre dia']"
Amanida thai de tofu (formatge tendre),,"['120-150g de tofu', '70g de kale (i/o enciams,espinacs, etc)', '100g de tomàquets cherry (o 1 unitat mitjana de tomàquet)', '25g de ceba morada', '100g de pastanaga', '20g de llavors de carbassa', '5g de coriandre o menta fresca (opcional)', '0.5g pebre vermell picant a pols (opcional)']",[]
Ous remenats amb formatge i espàrrecs,,"['3 ous', '30 g de formatge semicurat', '4-5 espàrrecs cuits (bullir abans)', ""3g de cibulet o 1⁄2 part verd d'una ceba tendra o grell"", '10 g de mantega sense sal freda', ""7 ml d'oli d'oliva (1 cullerada)"", 'Sal i pebre al gust']","['Bullir o saltejar els espàrrecs (i reservar-los.', 'Batre els ous amb la mantega i el pebre bo', 'Posar l’oli a la paella i encalentir 2 min.', 'Tirar els ous amb la mantega a la paella, després afegir-li el formatge i el cibulet i els espàrrecs', 'Remenar-ho tot fins que estigui cuit al gust.']"
Crema de xampinyons,,"['600g de xampinyons', '20g de mantega sense sal', '100g de ceba blanca', '1-2 alls', '500ml de brou de pollastre (o aigua)', '0.5g de tomí sec (3g si és fresc)', '1 fulla de llorer (opcional)', 'Sal i pebre al gust', '50ml de nata líquida (opcional)']","['Fondre la mantega dins una olla a foc mitjà.', ""Afegir la ceba i cuinar un minut. Afegir l'all i cuinar movent fins que quedin translúcids."", 'Afegir el tomí, els xampinyons i una mica de sal.Anar movent, fins que els xampinyons comencin a tirar aigua.', ""Afegir el brou de pollastre (o agua) i bullir. Baixar la temperatura i tapar l'olla. Cuinar 15 minuts més."", 'Apagar el foc, deixar refredar i treure la fulla de llorer.', 'Posar la nata', 'Passar-ho tot pel turmix. Ajustar sal i pebre.', 'Servir amb els crocants de formatge parmesà.']"
Crocant de formatge,,"['30 g de formatge parmesà', 'Espècies diverses: pebre bo, curry, pebre vermell, nou moscada…']","['Encalentir el forn a 250ºC', 'Rallar el formatge parmesà', 'Col.locar el formatge parmesà en caramulls (3-4) damunt paper de forn', 'Posar-li pebre bò i altres (aconsello posar diferents espècies als diferents munts, li donarà gustos diferents.', 'Enfornar durante 10-15 min → Si es crema una mica el formatge serà més bo i més cruixent.']"
Ceto-creps,,"['2 ous', '100g de mató', '15g de mantega', '30g de farina de ametlles o de lli', '0.5g de canyella en pols', ""5ml d'essència de vainilla"", '1⁄2 culleradeta pols de coure (royal)', 'Sal', ""Oli d'oliva"", ""10g d'eritritol""]","['Combinar tots els ingredients en una liquadora.', 'Batre a una velocitat mitjana-alta fins que tot estigui integrat i una mica espès.', ""Col·locar la paella a escalfar a foc mitjà-baix per 5 minuts. Posar una mica d'oli d'oliva."", 'Afegir una mica de la barreja de la liquadora al centre de la paella i distribuir-la per la superfície, fins a aconseguir un gruix de menys de 4mm.', ""Cuinar la crep fins que estigui ferma, una mica daurada per sota, i es vegin algunes bombolletes a la superfície. Voltejar amb l'espàtula i cuinar per 30 segons més."", 'Col·locar en un plat amb un paper absorbent. Repetiu el procediment des del pas 4 fins a acabar la barreja de la liquadora.', 'Servir les creps. → Recorda que només n’has de fer la meitat!']"
Cetp-nutella,,"['40g de xocolata 90%', ""30g d'avellanes naturals"", ""25g de mantega sense sal o d'oli de coco"", '15g de cacau en pols sense sucre (opcional)', ""5ml d'essència de vainilla"", ""10g d'eritritol"", 'Sal (opcional)']","['Col·locar les avellanes a la picadora. Picar fins a aconseguir una textura pastosa (primer queden pols, seguir picant fins que quedin pasta)', 'Col·locar al bol la xocolata torsejada i la mantega. Fondre al al bany maria o a foc lent fins que tot quedi líquid.', ""Afegir el cacau en pols, les gotes de vainilla, l'eritritol i un pessic de sal. Mesclar bé amb l'espàtula. Afegir la crema de xocolata a les avellanes a la picadora. Batre fins aconseguir una textura cremosa i suau."", ""Si es prefereix més líquida, es pot afegir una cullerada d'oli de coco."", ""Guardar la meitat en un pot de vidre amb tapa a la nevera fins que s'utilitzi.""]"
