nom,racions,ingredients,passos
Estofat de vedella,,"['1 Ració', '200 g de carn de vedella per estofar, tallada a trossos', '1 pastanaga', '100 g de mongetes verdes', '1/2 ceba', ""1 gra d'all"", '1 tassa (250 ml) de brou de carn', '1 tomàtiga de ramallet rallada', '1 fulla de llorer', 'moraduix', 'Sal i pebre al gust', ""1 cullerada d'oli d'oliva (OOVE)""]","[""En una olla petita, encalentir l'oli d'oliva a mig foc."", 'Afegir la carn de vedella i cuina fins que estigui daurada.', ""Afegir-hi la ceba i l'all a l'olla, i cuinar fins que estiguin tendres."", ""Afegir les pastanagues i les mongetes a l'olla. Remena per barrejar els ingredients."", ""Tirar el brou de carn dins l'olla i afegir la fulla de llorer, la farigola, el tomàquet concentrat (opcional), la sal i el pebre al gust."", 'Cuinar a foc fort fins que agafi el bull i després reduir a foc baix.', ""Cobrir l'olla i deixeu cuinar a foc lent 1.5 a 2 hores, o fins que la carn i les verdures estiguin tendres."", 'Remena ocasionalment i ajustasal i pebre bo al gust', ""Quan l'estofat estigui llest, retirar la fulla de llorer i servir-ho calent."", 'Bon profit!']"
Bacallà a la mallorquina,,"['400g bacallà (200 per ració)', '1 Manat bledes', '2 Cebes tendres', '1 Manat de julivert', '1 Tomàtiga', '3 alls', '20 g pinyons', '20 g d’ametlles', 'Un poc de pebre vermell', 'Sal', ""Oli d'oliva"", 'Pebre bo']","['Encalentir el forn a 180ºC', 'Tallar tota la verdura (tallar la tomàtiga a llesques i reservar), i la trempar en una ensaladera grossa amb oli, sal, pebre vermell i pebre bo', 'Llevar les espines al peix', 'Col.locar una capa de verdura al fons de la palangan de forn i una mica de verdura', 'Col.locar el peix', 'Acabarde col.locar la resta de les verdures per damunt.', 'Col.locar les llesques de tomàtiga per damunt, els pinyons i les ametlles. Afegir una mica de pebre bo, sal i oli.', 'Enfornar durante 1h - 1h 10min a 180ºC', 'Servir la meita i reservar l’altre meitat pel dissabte.']"
Pa (lli) amb pernil i alvocat,,"['100 g de salmó fumat', '1 ou', '30 g de formatge semicurat', '30 g de pernil salat', '50 g d’amanida', 'OOVE, sal i vinagre o llimona']","['Posa a bullir un ou (temporitza 8 min de cocció)', 'Treu el salmó del seu envàs i servil en un plat', 'Fes el mateix amb el formatge i el pernil salat', 'Posa les fulles verdes en un bol i trempa-les amb OOVE, sal i vinagre o llimona', 'Quan l’ou estigui cuit pala’l i serveix-lo dins el plat amb els altres aliments.', 'Trempa l’ou', 'Bon profit!']"
Roses de pollastre amb pernil i formatge,,"['200 g de pitrera de pollastre', '50 g de formatge tallat a llesques finetes', '50 g de pernil dolç', '1 ou', '70 g de fulles verdes', 'OOVE, sal i vinagre de poma']","['Posa el forn a encalentir a 180ºC', 'Talla el pollastre a làmines fines i posa-li una mica de pebre bò per damunt (nou moscada si t’agrada… o altres espècies', 'Compon un tall de formatge i un tall de pernil dolç damunt cada tall de polalstre', 'Enrolla i posa-li un palillo perquè s’aguanti', 'Col·loca les roses de pollastre dins una palangana de forn, si vols pots posar-hi un full de paper de forn perquè no s’aferrin', 'Enforna 15 min a 180ºC', 'Treu-les i amb un pinzell posa-lis per damunt un ou batut.', 'Torna a enfornar per 15 minuts més a 180ºC', 'Deixa reposar 5 minuts i mentrestant trempa l’amanida amb oli sal i vinagre o llimona', 'Bon profit!']"
Pastís de carn,,"['200 g de carn picada', '1 porro', '5 g de fulles d’api', '½ ceba', '1 pastanaga', '125 ml de brou', '50 ml de vi tinto (o qualsevol altre)', '4 tomàtigues de ramallet', '15 g de mantega', '15 g de parmesà', '2 ous', 'nou moscada', '200 g de coliflor', 'OOVE, sal, pebre bo', '70 g de fulles verdes']","['Encalentir el forn a 180ºC', 'Trossejar totes les verdures d’un tamany petit i homogeni perquè es mesclin bé amb la carn.', 'Rallar les tomàtigues de ramellet i reservar', 'Posar una mica d’OOVE en una paella i cuinar les verdures: a) primer la ceba i el porro, b) després tirar-hi les tomàtigues ratllades i quan la tomàtiga estigui cuita c) hi tirarem la pastanaga i l’api', 'Quan les verdures estiguin tendres tirar-hi la carn i desmenuzar-la perquè s’integri bé amb les verdures', 'Afegim el brou i el vi i deixam coure durant 20 min (fins que redueixi pràcticament tot el líquid', 'Mentrestant ratllam la coliflor i la trempam amb OOVE, sal, pebre bo i nou moscada i reservam', 'Quan han passat els 20 minuts, batem 1 ous, i els mesclam amb la carn perquè quedi compacte', 'Fonem la mantega (podem utilitzar el microones o dins un perol), reservam', 'I batem l’altre ou i el mesclam amb la coliflor', 'Afegim la mantega a la coliflor', 'Col.locam la carn en un recipient de forn, i després li posam la coliflor per damunt', 'Finalment tiram el parmesà ratllat per damunt.', 'Enfornam per 10 minuts.', 'Deixa reposar 5 minuts i serveix amb l’amanida!', 'Bon profit!']"
Truita d'espinacs amb formatge blau i cúrcuma,,"['3 ous', '1 all', '100 g d’espinacs', '30 g de formatge blau', '10 g de cúrcuma fresca', 'OOVE, sal, pebre bo']","['Renta i talla els espinacs i l’all', 'Posa un raig d’OOVE en una paella, i encalenteix-lo', 'Tira-li l’all i els espinacs, deixa coure 4 minuts', 'Bat els ous i mescla les verdures amb els ous i afegeix la cúrcuma fresca ratllada', 'Tira novament dins la paella i deixa coura per cada costat.', 'Bon profit!']"
Rollet pernil salat amb espàrrecs blancs,,"['3 espàrrecs blancs', '3 llesques de pernil salat']","['Embolica els espàrrecs amb el pernil!', 'Bon profit!']"
Coes de llagostins amb bolets,,"['250 g de coes de llagostins', '200 g de bolets (tria: gírgoles, shiitake, xampinyons, shimejis…)', '2 alls', 'OOVE, sal i pebre bo']","['Descongela les coes de llagostins si estan congelades.', 'Talla els bolets a tires.', 'Posa una mica d’OOVE en una paella i diexa encalentir una mica.', 'Talla els alls i tira-los a la paella, a continuació afegeix les coes de llagostins', 'Quan s’hagin cuit, afegeix els bolets.', 'Salpebre perquè quedi saborós', 'Treu i serveix. Bon profit!']"
Calamar a la planxa amb bledes saltejades amb all i cúrcuma,,"['1 calamar (o 2 si son petits)', '2 alls', '150 - 200 g de bledes', '5 g de cúrcuma fresca', 'OOVE, sal']","['Renta i talla les bledes i els alls', 'Posa una mica d’OOVE en una paella i deixa encalentir per un min', 'Tira-hi l’all, remena, després afegeix les bledes i salpebre', 'Al mateix temps posa OOVE en una altra paella, deixa encalentir', 'Posa-hi el calamar (net). Deixa coure durant 5 minuts', 'Dona-li la volta i deixa cuinar per 4-5 minuts més per l’altre costat', 'Treu les bledes i el calamar, i serveix en un mateix plat. Bon profit!']"
Dorada a la sal amb maionesa,,"['1 Daurada', '1 kg de sal gruixuda per enfornar', '1 ou', '1 all', 'llimona', 'OOVE, vinagre, sal', '70 g de fulles verdes']","['Encalentir el forn a 180ºC', 'Posar un llit de sal damunt la safata de forn', 'Posar la daurada neta amb una tallada de llimona dins la panxa, sal i pebre bo.', 'Tapa la daurada de sal i enforna uns 20 min aprox. (farà oloreta en ser cuita)', 'Mentrestant fes la MAIONESA: posa l’all picat i l’ou amb una cullerada de cafè d’oli, amb el turmix ves mesclant i afegins oli molt, molt a poc a poc fins que et quedi d’una textura hemogènia, corregeix de sal, i en acabar posa-li unes gotes de llimona o vinagre.', 'Quan tenguis la maionesa fes l’amanida: talla i renta les fulles', 'Posa-les en una bol o ensaladera i trempa-les amb OOVE, sal i llimona o vinagre', 'Serveix la dorada amb amanida i la maionesa al costat.']"
